"accountHolderID","bankAccount","investiment","customerStability","overdraftLimit","multipleChannel","serviceLoan","bankGuarantee","contract","paymentMethod","monthlyCharges","totalCharges","churn"
"7590-VHVEG","PJ","Sim","1","Sim","Somente telefone","Website","0","Semestral","Débito automático","119.85","1329.853","Não"
"5575-GNVDE","PF","Não","34","Não","Não","Website","0","Uma vez ao ano","PIX","56.95","1889.5","Não"
"3668-QPYBK","PF","Não","2","Sim","Não","Website","0","Semestral","PIX","53.85","108.15","Sim"
"7795-CFOCW","PF","Não","45","Não","Somente telefone","Website","0","Uma vez ao ano","Transferência bancária","42.3","1840.75","Não"
"9237-HQITU","PJ","Não","2","Sim","Não","Mesa","1","Semestral","Débito automático","170.734","1151.656","Sim"
"9305-CDSKC","PJ","Não","8","Sim","Sim","Mesa","1","Semestral","Débito automático","199.654","1820.511","Sim"
"1452-KIOVK","PF","Não","22","Sim","Sim","Mesa","0","Semestral","Boleto","89.1","1949.4","Não"
"6713-OKOMC","PJ","Não","10","Não","Somente telefone","Website","0","Semestral","PIX","129.753","1301.911","Não"
"7892-POOKP","PJ","Sim","28","Sim","Sim","Mesa","1","Semestral","Débito automático","204.822","3046.051","Sim"
"6388-TABGU","PF","Não","62","Não","Não","Website","0","Uma vez ao ano","Transferência bancária","56.15","3487.95","Não"
"9763-GRSKD","PF","Sim","13","Sim","Não","Website","0","Semestral","PIX","49.95","587.45","Não"
"7469-LKBCI","PF","Não","16","Não","Não","Não","0","Duas vezes ao ano","Boleto","18.95","326.8","Não"
"8091-TTVAX","PF","Sim","58","Não","Sim","Mesa","0","Uma vez ao ano","Boleto","100.35","5681.1","Não"
"0280-XJGEX","PF","Não","49","Sim","Sim","Mesa","0","Semestral","Transferência bancária","103.7","5036.3","Sim"
"5129-JLPIS","PF","Não","25","Sim","Não","Mesa","0","Semestral","Débito automático","105.5","2686.05","Não"
"3655-SNQYZ","PJ","Sim","69","Não","Sim","Mesa","1","Duas vezes ao ano","Boleto","113.255","7895.151","Não"
"8191-XWSZG","PJ","Não","52","Não","Não","Não","0","Uma vez ao ano","PIX","320.655","1022.955","Não"
"9959-WOFKT","PF","Não","71","Não","Sim","Mesa","0","Duas vezes ao ano","Transferência bancária","106.7","7382.25","Não"
"4190-MFLUW","PJ","Sim","10","Não","Não","Website","1","Semestral","Boleto","655.244","5283.567","Sim"
"4183-MYFRB","PJ","Não","21","Sim","Não","Mesa","1","Semestral","Débito automático","690.056","4162.944","Não"
"8779-QRDMV","PF","Não","1","Sim","Somente telefone","Website","1","Semestral","Débito automático","39.65","39.65","Sim"
"1680-VDCWW","PF","Sim","12","Não","Não","Não","0","Uma vez ao ano","Transferência bancária","19.8","202.25","Não"
"1066-JKSGK","PF","Não","1","Não","Não","Não","0","Semestral","PIX","20.15","20.15","Sim"
"3638-WEABW","PJ","Sim","58","Sim","Sim","Website","1","Duas vezes ao ano","Boleto","259.922","3505.111","Não"
"6322-HRPFA","PF","Sim","49","Não","Não","Website","0","Semestral","Boleto","59.6","2970.3","Não"
"6865-JZNKO","PJ","Não","30","Sim","Não","Website","1","Semestral","Transferência bancária","155.311","1530.623","Não"
"6467-CHFZW","PF","Sim","47","Sim","Sim","Mesa","0","Semestral","Débito automático","99.35","4749.15","Sim"
"8665-UTDHZ","PF","Sim","1","Não","Somente telefone","Website","0","Semestral","Débito automático","30.2","30.2","Sim"
"5248-YGIJN","PF","Sim","72","Sim","Sim","Website","0","Duas vezes ao ano","Boleto","90.25","6369.45","Não"
"8773-HHUOZ","PJ","Não","17","Sim","Não","Website","1","Semestral","PIX","164.711","1093.145","Sim"
"3841-NFECX","PJ","Sim","71","Sim","Sim","Mesa","1","Duas vezes ao ano","Boleto","196.351","6766.955","Não"
"4929-XIHVW","PF","Sim","2","Sim","Não","Mesa","1","Semestral","Boleto","95.5","181.65","Não"
"6827-IEAUQ","PJ","Sim","27","Não","Não","Website","1","Uma vez ao ano","PIX","166.151","1874.459","Não"
"7310-EGVHZ","PF","Não","1","Não","Não","Não","0","Semestral","Transferência bancária","20.2","20.2","Não"
"3413-BMNZE","PF","Não","1","Não","Não","Website","1","Semestral","Transferência bancária","45.25","45.25","Não"
"6234-RAAPL","PJ","Sim","72","Não","Sim","Mesa","1","Duas vezes ao ano","Transferência bancária","199.911","7251.743","Não"
"6047-YHPVI","PF","Não","5","Sim","Não","Mesa","0","Semestral","Débito automático","69.7","316.9","Sim"
"6572-ADKRS","PJ","Não","46","Sim","Não","Mesa","1","Semestral","Boleto","714.811","3548.323","Não"
"5380-WJKOV","PF","Não","34","Sim","Sim","Mesa","0","Semestral","Débito automático","106.35","3549.25","Sim"
"8168-UQWWF","PJ","Não","11","Sim","Sim","Mesa","1","Semestral","Transferência bancária","917.851","1329.853","Sim"
"8865-TNMNX","PF","Sim","10","Não","Não","Website","0","Uma vez ao ano","PIX","49.55","475.7","Não"
"9489-DEDVP","PJ","Sim","70","Sim","Sim","Website","1","Duas vezes ao ano","Boleto","619.211","1151.656","Não"
"9867-JCZSP","PJ","Sim","17","Não","Não","Não","0","Uma vez ao ano","PIX","201.751","1820.511","Não"
"4671-VJLCL","PJ","Não","63","Sim","Sim","Website","1","Duas vezes ao ano","Boleto","791.851","1301.911","Não"
"4080-IIARD","PJ","Sim","13","Sim","Sim","Website","1","Semestral","Débito automático","761.211","3046.051","Não"
"3714-NTNFO","PJ","Não","49","Sim","Sim","Mesa","1","Semestral","Débito automático","841.523","7895.151","Não"
"5948-UJZLF","PF","Não","2","Não","Não","Website","0","Semestral","PIX","49.25","97","Não"
"7760-OYPDY","PJ","Não","2","Sim","Não","Mesa","1","Semestral","Débito automático","280.652","1022.955","Sim"
"7639-LIAYI","PF","Não","52","Sim","Sim","Website","0","Duas vezes ao ano","Boleto","79.75","4217.8","Não"
"2954-PIBKO","PJ","Sim","69","Sim","Sim","Website","1","Duas vezes ao ano","Boleto","264.153","5283.567","Não"
"8012-SOUDQ","PJ","Não","43","Sim","Sim","Mesa","1","Semestral","Débito automático","690.255","1329.853","Não"
"9420-LOJKX","PJ","Não","15","Sim","Não","Mesa","1","Semestral","Boleto","799.177","3046.051","Sim"
"6575-SUVOI","PJ","Sim","25","Sim","Sim","Website","1","Semestral","Boleto","169.511","7895.151","Não"
"7495-OOKFY","PJ","Sim","8","Sim","Sim","Mesa","1","Semestral","Boleto","180.651","1151.656","Sim"
"4667-QONEA","PJ","Sim","60","Sim","Não","Website","1","Uma vez ao ano","Boleto","174.851","1820.511","Não"
"1658-BYGOY","PF","Não","18","Sim","Sim","Mesa","1","Semestral","Débito automático","95.45","1752.55","Sim"
"8769-KKTPH","PJ","Sim","63","Sim","Sim","Mesa","1","Uma vez ao ano","Boleto","199.651","1301.911","Não"
"5067-XJQFU","PF","Sim","66","Sim","Sim","Mesa","1","Uma vez ao ano","Débito automático","108.45","7076.35","Não"
"3957-SQXML","PJ","Sim","34","Não","Sim","Não","0","Duas vezes ao ano","Boleto","124.951","3046.051","Não"
"5954-BDFSG","PJ","Não","72","Sim","Sim","Mesa","1","Duas vezes ao ano","Boleto","107.578","7895.151","Não"
"0434-CSFON","PJ","Sim","47","Sim","Sim","Mesa","1","Semestral","Débito automático","100.511","1022.955","Não"
"1215-FIGMP","PF","Não","60","Sim","Sim","Mesa","0","Semestral","Transferência bancária","89.9","5450.7","Não"
"0526-SXDJP","PF","Sim","72","Não","Somente telefone","Website","0","Duas vezes ao ano","Transferência bancária","42.1","2962","Não"
"0557-ASKVU","PJ","Sim","18","Sim","Não","Website","1","Uma vez ao ano","Boleto","154.411","5283.567","Não"
"5698-BQJOH","PJ","Não","9","Não","Sim","Mesa","1","Semestral","Débito automático","294.434","4162.944","Sim"
"5122-CYFXA","PJ","Não","3","Sim","Não","Website","1","Semestral","Débito automático","275.312","3505.111","Não"
"8627-ZYGSZ","PF","Sim","47","Sim","Sim","Mesa","0","Uma vez ao ano","Débito automático","78.9","3650.35","Não"
"3410-YOQBQ","PJ","Não","31","Não","Não","Website","1","Duas vezes ao ano","PIX","179.211","1530.623","Não"
"3170-NMYVV","PJ","Sim","50","Não","Não","Não","0","Duas vezes ao ano","Transferência bancária","120.151","1093.145","Não"
"7410-OIEDU","PF","Não","10","Sim","Não","Mesa","0","Semestral","PIX","79.85","887.35","Não"
"2273-QCKXA","PF","Não","1","Não","Não","Website","0","Semestral","PIX","49.05","49.05","Não"
"0731-EBJQB","PJ","Sim","52","Sim","Não","Não","0","Uma vez ao ano","Débito automático","620.465","6766.955","Não"
"1891-QRQSA","PF","Sim","64","Sim","Sim","Mesa","1","Duas vezes ao ano","Transferência bancária","111.6","7099","Não"
"8028-PNXHQ","PF","Sim","62","Sim","Sim","Não","0","Duas vezes ao ano","Transferência bancária","24.25","1424.6","Não"
"5630-AHZIL","PJ","Não","3","Sim","Não","Website","1","Semestral","Transferência bancária","564.555","1874.459","Não"
"2673-CXQEU","PJ","Não","56","Não","Sim","Mesa","1","Uma vez ao ano","Débito automático","110.545","7251.743","Não"
"6416-JNVRK","PJ","Não","46","Não","Não","Website","1","Uma vez ao ano","Boleto","155.656","3548.323","Não"
"5590-ZSKRV","PJ","Sim","8","Não","Não","Website","1","Semestral","PIX","154.651","1329.853","Não"
"0191-ZHSKZ","PF","Não","30","Sim","Não","Website","1","Semestral","Débito automático","74.75","2111.3","Não"
"3887-PBQAO","PJ","Sim","45","Sim","Sim","Não","0","Uma vez ao ano","Boleto","225.933","1151.656","Não"
"5919-TMRGD","PJ","Não","1","Sim","Não","Mesa","1","Semestral","Débito automático","279.353","1820.511","Sim"
"8108-UXRQN","PJ","Sim","11","Não","Somente telefone","Website","0","Semestral","Débito automático","350.553","1301.911","Não"
"9191-MYQKX","PJ","Sim","7","Sim","Não","Mesa","1","Semestral","Transferência bancária","375.153","3046.051","Sim"
"9919-YLNNG","PJ","Não","42","Sim","Não","Mesa","1","Semestral","Transferência bancária","103.821","7895.151","Não"
"0318-ZOPWS","PJ","Sim","49","Sim","Não","Não","0","Duas vezes ao ano","Transferência bancária","420.152","1022.955","Não"
"4445-ZJNMU","PF","Não","9","Sim","Sim","Mesa","0","Semestral","Boleto","99.3","918.75","Não"
"4808-YNLEU","PJ","Sim","35","Sim","Não","Website","1","Uma vez ao ano","Transferência bancária","462.154","5283.567","Não"
"1862-QRWPE","PJ","Sim","48","Não","Não","Não","0","Duas vezes ao ano","Transferência bancária","120.651","1329.853","Não"
"2796-NNUFI","PJ","Sim","46","Sim","Não","Não","0","Duas vezes ao ano","PIX","119.951","3046.051","Não"
"3016-KSVCP","PF","Sim","29","Não","Somente telefone","Website","0","Semestral","PIX","33.75","1009.25","Não"
"4767-HZZHQ","PF","Sim","30","Não","Não","Mesa","0","Semestral","Transferência bancária","82.05","2570.2","Não"
"2424-WVHPL","PF","Não","1","Não","Não","Mesa","1","Semestral","Débito automático","74.7","74.7","Não"
"7233-PAHHL","PF","Sim","66","Sim","Sim","Website","0","Duas vezes ao ano","PIX","84","5714.25","Não"
"6067-NGCEU","PJ","Não","65","Sim","Sim","Mesa","1","Semestral","Boleto","111.051","7895.151","Não"
"9848-JQJTX","PF","Não","72","Sim","Sim","Mesa","0","Duas vezes ao ano","Transferência bancária","100.9","7459.05","Não"
"8637-XJIVR","PJ","Não","12","Sim","Sim","Mesa","1","Semestral","Débito automático","178.951","1151.656","Sim"
"9803-FTJCG","PF","Sim","71","Sim","Sim","Website","0","Uma vez ao ano","Boleto","66.85","4748.7","Não"
"0278-YXOOG","PF","Não","5","Não","Não","Não","0","Semestral","PIX","21.05","113.85","Sim"
"3212-KXOCR","PF","Não","52","Não","Não","Não","0","Duas vezes ao ano","Transferência bancária","21","1107.2","Não"
"4598-XLKNJ","PJ","Sim","25","Sim","Não","Mesa","1","Semestral","Débito automático","198.511","1820.511","Sim"
